item_label1;number_item_label1;item_class1;item_label2;number_item_label2;item_class2;correlation;p_value;relation_number;item_class1 (grupos)
"la satisfacción general con la asesoría y servicio";"393";"Servicio";"¿Qué tan posible es que vuelvas a comprar en las tiendas de OFFCORSS?";"936";"NPS";"-0.1856953381770518";"0.0002253512052779";6;"Servicio"
"el interés e indagación de tu necesidad";"316";"Servicio";"la calidad de los productos";"382";"Producto";"0.4716211091418992";"0.0003050083057218";27;"Servicio"
"el precio vs producto adquirido";"326";"Producto";"la calidad de los productos";"382";"Producto";"0.6355982144678056";"0.0003237097558135";57;"Producto"
"la exhibición de los productos dentro de la tienda";"415";"Producto";"los espacios de diversión para los niños";"314";"Experiencia";"0.5468350574205849";"0.0004061570668447";45;"Producto"
"la experiencia y diversión para los niños/as";"342";"Experiencia";"la satisfacción general con tu experiencia de compra";"369";"Experiencia";"0.8027237092426357";"0.0004279145265407";68;"5"
"la amabilidad en la atención";"392";"Servicio";"la disponibilidad de los productos";"376";"Producto";"0.5919020240036045";"0.0009576916227803";68;"Servicio"
"los espacios de diversión para los niños";"314";"Experiencia";"los probadores/Vestier";"316";"Experiencia";"0.4691852194012983";"0.001138406383659";43;"5"
"la calidad de los productos";"382";"Producto";"la disponibilidad de los productos";"376";"Producto";"0.2325615595182853";"0.0017943535599118";43;"Producto"
"la Información sobre los productos";"380";"Producto";"los espacios de diversión para los niños";"314";"Experiencia";"0.2957426670303581";"0.0020078467793755";34;"Producto"
"la música y ambientación";"392";"Experiencia";"los espacios de diversión para los niños";"314";"Experiencia";"0.5163567735294851";"0.002498939127354";37;"5"
"el diseño de los productos";"401";"Producto";"la disponibilidad de los productos";"376";"Producto";"0.4528764592895514";"0.0049475028948235";30;"Producto"
"la atención e interés por el niño o la niña";"337";"Servicio";"¿Qué tan posible es que vuelvas a comprar en las tiendas de OFFCORSS?";"936";"NPS";"0.8748935037989843";"0.0053366484708068";6;"Servicio"
"la Información sobre los productos";"380";"Producto";"la experiencia y diversión para los niños/as";"342";"Experiencia";"0.5888723952402841";"0.0077430382724413";22;"Producto"
"el interés e indagación de tu necesidad";"316";"Servicio";"los espacios de diversión para los niños";"314";"Experiencia";"0.4705910525045266";"0.0078763889828701";18;"Servicio"
"la agilidad en el proceso de pago";"384";"Experiencia";"los espacios de diversión para los niños";"314";"Experiencia";"0.4643813420101492";"0.0081300791054645";32;"5"
"la facilidad para encontrar lo que buscabas";"394";"Servicio";"la variedad de productos en la tienda";"404";"Producto";"0.5067934713880097";"0.0089961902534398";23;"Servicio"
"la satisfacción general con los productos";"385";"Producto";"la variedad de productos en la tienda";"404";"Producto";"0.4298663372180975";"0.0097574640122703";29;"Producto"
"el precio vs producto adquirido";"326";"Producto";"el tiempo de respuesta";"347";"Servicio";"NaN";"0.0161300899000925";5;"Producto"
"el diseño de los productos";"401";"Producto";"la variedad de productos en la tienda";"404";"Producto";"0.5616697446942472";"0.0178125958639929";46;"Producto"
"la disponibilidad de los productos";"376";"Producto";"la satisfacción general con los productos";"385";"Producto";"0.7462025072446365";"0.0179774804224865";13;"Producto"
"el diseño de las vitrinas";"345";"Experiencia";"los espacios de diversión para los niños";"314";"Experiencia";"0.8427009716003845";"0.0184515285130158";8;"5"
