Id;SurveyAnswerID;Content;BeginOffset;SentimentScore;SentimentMagnitude
12484;65808;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
12487;65823;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
12720;66895;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
12815;67467;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
12973;68296;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
12996;68443;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13020;68545;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13047;68680;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13063;68733;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13088;68843;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13093;68872;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13099;68900;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13107;68932;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13126;69023;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13159;69174;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13185;69264;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13261;69693;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13312;69959;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13327;70019;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13342;70077;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13411;70381;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13608;71411;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13807;72292;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13894;72726;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
13993;73210;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
14019;73323;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
14109;73711;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
14123;73777;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
14154;73904;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
14258;74466;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
14506;75584;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
14517;75639;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
14576;75940;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
14743;76801;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
14759;76853;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
14855;77252;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
14893;77430;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
14953;77692;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
14960;77731;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15153;78656;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15210;78965;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15325;79526;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15334;79604;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15354;79712;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15359;79754;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15374;79845;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15425;80114;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15490;80346;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15498;80364;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15499;80373;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15518;80503;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15538;80571;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15573;80770;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15639;81033;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15688;81277;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15798;81867;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15815;81953;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15818;81967;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15828;82030;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
15897;82395;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
168;1452;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
205;1664;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
323;2254;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
339;2351;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
604;3346;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
629;3467;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
694;3771;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
769;4092;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
913;4791;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
997;5237;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
1128;6014;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
1208;6389;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
1224;6481;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
1327;7048;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
1436;7568;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
1519;8001;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
1605;8451;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
1651;8695;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
1716;8959;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
2013;10462;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
2225;11613;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
2433;12741;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
2445;12810;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
2471;12926;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
2629;13799;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
2631;13822;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
2663;13995;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
2708;14198;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
2711;14208;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
2917;15337;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
2975;15643;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
3166;16976;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
3196;17245;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
3224;17438;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
3499;19461;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
3537;19712;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
3653;20503;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
3656;20534;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
3839;21769;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
3916;22209;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
4044;23263;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
4147;24042;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
4253;24770;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
4267;24885;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
4374;25628;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
5401;26849;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
5460;27216;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
5495;27482;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
5682;28904;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
5881;30247;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
5940;30829;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6093;32154;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6270;33427;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6333;33987;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6411;34502;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6521;35531;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6549;35755;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6554;35841;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6593;36034;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6634;36241;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6667;36492;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6679;36575;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6719;36879;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6741;37109;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6836;37643;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6840;37665;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6877;37961;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6938;38361;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6954;38457;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
6983;38657;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
7152;39605;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
7153;39617;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
7251;40239;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
7939;44343;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
7944;44403;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
7962;44588;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8092;45454;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8114;45592;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8126;45702;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8134;45750;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8156;45928;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8184;46107;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8279;46773;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8370;47352;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8450;47877;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8505;48226;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8523;48358;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8531;48416;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
